theta1,theta2,x,y
88.0,-23.0,4.5751775844,19.0569861406
88.0,-22.0,4.4163613978,19.1293628466
88.0,-21.0,4.2563062519,19.1989568047
88.0,-20.0,4.0950609012,19.2657468159
88.0,-19.0,3.9326744625,19.3297125352
88.0,-18.0,3.7691964003,19.3908344781
88.0,-17.0,3.6046765116,19.4490940262
88.0,-16.0,3.4391649107,19.5044734332
88.0,-15.0,3.2727120142,19.5569558298
88.0,-14.0,3.1053685252,19.6065252296
88.0,-13.0,2.937185418,19.6531665331
88.0,-12.0,2.768213923,19.696865533
88.0,-11.0,2.5985055104,19.7376089181
88.0,-10.0,2.4281118752,19.7753842775
88.0,-9.0,2.2570849208,19.8101801047
88.0,-8.0,2.0854767437,19.8419858003
88.0,-7.0,1.9133396174,19.8707916762
88.0,-6.0,1.7407259766,19.8965889576
88.0,-5.0,1.5676884011,19.9193697866
88.0,-4.0,1.3942795997,19.9391272239
88.0,-3.0,1.2205523945,19.9558552511
88.0,-2.0,1.0465597044,19.9695487728
88.0,-1.0,0.8723545294,19.9802036177
88.0,0.0,0.697989934,19.9878165404
88.0,1.0,0.5235190314,19.9923852218
88.0,2.0,0.348994967,19.9939082702
88.0,3.0,0.1744709026,19.9923852218
88.0,4.0,-0.0,19.9878165404
88.0,5.0,-0.1743645954,19.9802036177
88.0,6.0,-0.3485697704,19.9695487728
88.0,7.0,-0.5225624605,19.9558552511
88.0,8.0,-0.6962896657,19.9391272239
88.0,9.0,-0.8696984671,19.9193697866
88.0,10.0,-1.0427360426,19.8965889576
88.0,11.0,-1.2153496834,19.8707916762
88.0,12.0,-1.3874868097,19.8419858003
88.0,13.0,-1.5590949868,19.8101801047
88.0,14.0,-1.7301219412,19.7753842775
88.0,15.0,-1.9005155764,19.7376089181
88.0,16.0,-2.070223989,19.696865533
88.0,17.0,-2.239195484,19.6531665331
88.0,18.0,-2.4073785912,19.6065252296
88.0,19.0,-2.5747220802,19.5569558298
88.0,20.0,-2.7411749767,19.5044734332
88.0,21.0,-2.9066865776,19.4490940262
88.0,22.0,-3.0712064663,19.3908344781
88.0,23.0,-3.2346845285,19.3297125352
88.0,24.0,-3.3970709672,19.2657468159
88.0,25.0,-3.5583163179,19.1989568047
88.0,26.0,-3.7183714638,19.1293628466
88.0,27.0,-3.8771876504,19.0569861406
88.0,28.0,-4.0347165009,18.9818487332
88.0,29.0,-4.1909100304,18.9039735121
88.0,30.0,-4.3457206609,18.8233841988
88.0,31.0,-4.4991012355,18.7401053416
88.0,32.0,-4.651005033,18.654162308
88.0,33.0,-4.8013857821,18.5655812772
88.0,34.0,-4.9501976753,18.4743892318
88.0,35.0,-5.0973953832,18.3806139497
88.0,36.0,-5.2429340677,18.2842839958
88.0,37.0,-5.3867693965,18.1854287131
88.0,38.0,-5.5288575559,18.0840782139
88.0,39.0,-5.6691552645,17.9802633707
88.0,40.0,-5.8076197863,17.8740158063
88.0,41.0,-5.9442089435,17.7653678848
88.0,42.0,-6.0788811299,17.6543527014
88.0,43.0,-6.2115953229,17.5410040724
88.0,44.0,-6.3423110966,17.425356525
88.0,45.0,-6.4709886336,17.3074452864
88.0,46.0,-6.5975887376,17.1873062736
88.0,47.0,-6.7220728449,17.0649760821
88.0,48.0,-6.8444030364,16.9404919748
88.0,49.0,-6.9645420492,16.8138918708
88.0,50.0,-7.0824532878,16.6852143338
88.0,51.0,-7.1981008352,16.5544985601
88.0,52.0,-7.3114494642,16.4217843671
88.0,53.0,-7.4224646476,16.2871121807
88.0,54.0,-7.5311125691,16.1505230235
88.0,55.0,-7.6373601335,16.0120585017
88.0,56.0,-7.7411749767,15.8717607931
88.0,57.0,-7.8425254759,15.7296726337
88.0,58.0,-7.9413807586,15.5858373049
88.0,59.0,-8.0377107125,15.4402986204
88.0,60.0,-8.1314859946,15.2931009125
88.0,61.0,-8.22267804,15.1442890193
88.0,62.0,-8.3112590708,14.9939082702
88.0,63.0,-8.3972021044,14.8420044727
88.0,64.0,-8.4804809616,14.6886238981
88.0,65.0,-8.5610702749,14.5338132676
88.0,66.0,-8.638945496,14.3776197381
88.0,67.0,-8.7140829034,14.2200908876
88.0,68.0,-8.7864596094,14.061274701
88.0,69.0,-8.8560535675,13.9012195551
88.0,70.0,-8.9228435787,13.7399742044
88.0,71.0,-8.986809298,13.5775877657
88.0,72.0,-9.0479312409,13.4141097035
88.0,73.0,-9.106190789,13.2495898148
88.0,74.0,-9.161570196,13.0840782139
88.0,75.0,-9.2140525926,12.9176253174
88.0,76.0,-9.2636219924,12.7502818284
88.0,77.0,-9.3102632959,12.5820987212
88.0,78.0,-9.3539622958,12.4131272262
88.0,79.0,-9.3947056809,12.2434188136
88.0,80.0,-9.4324810403,12.0730251784
88.0,81.0,-9.4672768675,11.901998224
88.0,82.0,-9.4990825631,11.7303900469
88.0,83.0,-9.527888439,11.5582529206
88.0,84.0,-9.5536857204,11.3856392798
88.0,85.0,-9.5764665494,11.2126017043
88.0,86.0,-9.5962239867,11.0391929029
88.0,87.0,-9.6129520139,10.8654656977
88.0,88.0,-9.6266455356,10.6914730076
88.0,89.0,-9.6373003805,10.5172678326
88.0,90.0,-9.6449133032,10.3429032372
88.0,91.0,-9.6494819846,10.1684323346
88.0,92.0,-9.651005033,9.9939082702
88.0,93.0,-9.6494819846,9.8193842058
88.0,94.0,-9.6449133032,9.6449133032
88.0,95.0,-9.6373003805,9.4705487078
88.0,96.0,-9.6266455356,9.2963435328
88.0,97.0,-9.6129520139,9.1223508427
88.0,98.0,-9.5962239867,8.9486236375
88.0,99.0,-9.5764665494,8.7752148361
88.0,100.0,-9.5536857204,8.6021772606
88.0,101.0,-9.527888439,8.4295636198
88.0,102.0,-9.4990825631,8.2574264935
88.0,103.0,-9.4672768675,8.0858183164
88.0,104.0,-9.4324810403,7.914791362
88.0,105.0,-9.3947056809,7.7443977268
88.0,106.0,-9.3539622958,7.5746893142
88.0,107.0,-9.3102632959,7.4057178192
88.0,108.0,-9.2636219924,7.237534712
88.0,109.0,-9.2140525926,7.070191223
88.0,110.0,-9.161570196,6.9037383265
88.0,111.0,-9.106190789,6.7382267256
88.0,112.0,-9.0479312409,6.5737068369
88.0,113.0,-8.986809298,6.4102287747
88.0,114.0,-8.9228435787,6.247842336
88.0,115.0,-8.8560535675,6.0865969853
88.0,116.0,-8.7864596094,5.9265418394
88.0,117.0,-8.7140829034,5.7677256528
88.0,118.0,-8.638945496,5.6101968023
88.0,119.0,-8.5610702749,5.4540032728
88.0,120.0,-8.4804809616,5.2991926423
89.0,-120.0,8.7461970714,4.8480962025
89.0,-119.0,8.8347781022,4.9984769516
89.0,-118.0,8.9207211358,5.1503807491
89.0,-117.0,9.003999993,5.3037613237
89.0,-116.0,9.0845893063,5.4585719542
89.0,-115.0,9.1624645274,5.6147654837
89.0,-114.0,9.2376019348,5.7722943342
89.0,-113.0,9.3099786408,5.9311105208
89.0,-112.0,9.3795725989,6.0911656667
89.0,-111.0,9.4463626101,6.2524110174
89.0,-110.0,9.5103283294,6.4147974561
89.0,-109.0,9.5714502723,6.5782755183
89.0,-108.0,9.6297098204,6.742795407
89.0,-107.0,9.6850892274,6.9083070079
89.0,-106.0,9.737571624,7.0747599044
89.0,-105.0,9.7871410238,7.2421033934
89.0,-104.0,9.8337823273,7.4102865006
89.0,-103.0,9.8774813272,7.5792579956
89.0,-102.0,9.9182247123,7.7489664082
89.0,-101.0,9.9560000717,7.9193600434
89.0,-100.0,9.9907958989,8.0903869978
89.0,-99.0,10.0226015945,8.2619951749
89.0,-98.0,10.0514074704,8.4341323012
89.0,-97.0,10.0772047518,8.606745942
89.0,-96.0,10.0999855808,8.7797835175
89.0,-95.0,10.1197430181,8.9531923189
89.0,-94.0,10.1364710453,9.1269195241
89.0,-93.0,10.150164567,9.3009122142
89.0,-92.0,10.1608194119,9.4751173892
89.0,-91.0,10.1684323346,9.6494819846
89.0,-90.0,10.173001016,9.8239528872
89.0,-89.0,10.1745240644,9.9984769516
89.0,-88.0,10.173001016,10.173001016
89.0,-87.0,10.1684323346,10.3474719186
89.0,-86.0,10.1608194119,10.521836514
89.0,-85.0,10.150164567,10.696041689
89.0,-84.0,10.1364710453,10.8700343791
89.0,-83.0,10.1197430181,11.0437615843
89.0,-82.0,10.0999855808,11.2171703857
89.0,-81.0,10.0772047518,11.3902079612
89.0,-80.0,10.0514074704,11.562821602
89.0,-79.0,10.0226015945,11.7349587283
89.0,-78.0,9.9907958989,11.9065669054
89.0,-77.0,9.9560000717,12.0775938598
89.0,-76.0,9.9182247123,12.247987495
89.0,-75.0,9.8774813272,12.4176959076
89.0,-74.0,9.8337823273,12.5866674026
89.0,-73.0,9.7871410238,12.7548505098
89.0,-72.0,9.737571624,12.9221939988
89.0,-71.0,9.6850892274,13.0886468953
89.0,-70.0,9.6297098204,13.2541584962
89.0,-69.0,9.5714502723,13.4186783849
89.0,-68.0,9.5103283294,13.5821564471
89.0,-67.0,9.4463626101,13.7445428858
89.0,-66.0,9.3795725989,13.9057882365
89.0,-65.0,9.3099786408,14.0658433824
89.0,-64.0,9.2376019348,14.224659569
89.0,-63.0,9.1624645274,14.3821884195
89.0,-62.0,9.0845893063,14.538381949
89.0,-61.0,9.003999993,14.6931925795
89.0,-60.0,8.9207211358,14.8465731541
89.0,-59.0,8.8347781022,14.9984769516
89.0,-58.0,8.7461970714,15.1488577007
89.0,-57.0,8.655005026,15.2976695939
89.0,-56.0,8.5612297439,15.4448673018
89.0,-55.0,8.46489979,15.5904059863
89.0,-54.0,8.3660445073,15.7342413151
89.0,-53.0,8.2646940081,15.8763294745
89.0,-52.0,8.1608791649,16.0166271831
89.0,-51.0,8.0546316005,16.1550917049
89.0,-50.0,7.945983679,16.2916808621
89.0,-49.0,7.8349684956,16.4263530485
89.0,-48.0,7.7216198666,16.5590672415
89.0,-47.0,7.6059723192,16.6897830152
89.0,-46.0,7.4880610806,16.8184605522
89.0,-45.0,7.3679220678,16.9450606562
89.0,-44.0,7.2455918763,17.0695447635
89.0,-43.0,7.121107769,17.191874955
89.0,-42.0,6.994507665,17.3120139678
89.0,-41.0,6.865830128,17.4299252064
89.0,-40.0,6.7351143543,17.5455727538
89.0,-39.0,6.6024001613,17.6589213828
89.0,-38.0,6.4677279749,17.7699365662
89.0,-37.0,6.3311388177,17.8785844877
89.0,-36.0,6.1926742959,17.9848320521
89.0,-35.0,6.0523765873,18.0886468953
89.0,-34.0,5.9102884279,18.1899973945
89.0,-33.0,5.7664530991,18.2888526772
89.0,-32.0,5.6209144146,18.3851826311
89.0,-31.0,5.4737167067,18.4789579132
89.0,-30.0,5.3249048135,18.5701499586
89.0,-29.0,5.1745240644,18.6587309894
89.0,-28.0,5.0226202669,18.744674023
89.0,-27.0,4.8692396923,18.8279528802
89.0,-26.0,4.7144290618,18.9085421935
89.0,-25.0,4.5582355323,18.9864174146
89.0,-24.0,4.4007066818,19.061554822
89.0,-23.0,4.2418904952,19.133931528
89.0,-22.0,4.0818353493,19.2035254861
89.0,-21.0,3.9205899986,19.2703154973
89.0,-20.0,3.7582035599,19.3342812166
89.0,-19.0,3.5947254977,19.3954031595
89.0,-18.0,3.430205609,19.4536627076
89.0,-17.0,3.2646940081,19.5090421146
89.0,-16.0,3.0982411116,19.5615245112
89.0,-15.0,2.9308976226,19.611093911
89.0,-14.0,2.7627145154,19.6577352145
89.0,-13.0,2.5937430204,19.7014342144
89.0,-12.0,2.4240346078,19.7421775995
89.0,-11.0,2.2536409726,19.7799529589
89.0,-10.0,2.0826140182,19.8147487861
89.0,-9.0,1.9110058411,19.8465544817
89.0,-8.0,1.7388687148,19.8753603576
89.0,-7.0,1.566255074,19.901157639
89.0,-6.0,1.3932174985,19.923938468
89.0,-5.0,1.2198086971,19.9436959053
89.0,-4.0,1.0460814919,19.9604239325
89.0,-3.0,0.8720888018,19.9741174542
89.0,-2.0,0.6978836268,19.9847722991
89.0,-1.0,0.5235190314,19.9923852218
89.0,0.0,0.3490481288,19.9969539032
89.0,1.0,0.1745240644,19.9984769516
89.0,2.0,0.0,19.9969539032
89.0,3.0,-0.1744709026,19.9923852218
89.0,4.0,-0.348835498,19.9847722991
89.0,5.0,-0.523040673,19.9741174542
89.0,6.0,-0.6970333631,19.9604239325
89.0,7.0,-0.8707605683,19.9436959053
89.0,8.0,-1.0441693697,19.923938468
89.0,9.0,-1.2172069452,19.901157639
89.0,10.0,-1.389820586,19.8753603576
89.0,11.0,-1.5619577123,19.8465544817
89.0,12.0,-1.7335658894,19.8147487861
89.0,13.0,-1.9045928438,19.7799529589
89.0,14.0,-2.074986479,19.7421775995
89.0,15.0,-2.2446948916,19.7014342144
89.0,16.0,-2.4136663866,19.6577352145
89.0,17.0,-2.5818494938,19.611093911
89.0,18.0,-2.7491929828,19.5615245112
89.0,19.0,-2.9156458793,19.5090421146
89.0,20.0,-3.0811574802,19.4536627076
89.0,21.0,-3.2456773689,19.3954031595
89.0,22.0,-3.4091554311,19.3342812166
89.0,23.0,-3.5715418698,19.2703154973
89.0,24.0,-3.7327872205,19.2035254861
89.0,25.0,-3.8928423664,19.133931528
89.0,26.0,-4.051658553,19.061554822
89.0,27.0,-4.2091874035,18.9864174146
89.0,28.0,-4.365380933,18.9085421935
89.0,29.0,-4.5201915635,18.8279528802
89.0,30.0,-4.6735721381,18.744674023
89.0,31.0,-4.8254759356,18.6587309894
89.0,32.0,-4.9758566847,18.5701499586
89.0,33.0,-5.1246685779,18.4789579132
89.0,34.0,-5.2718662858,18.3851826311
89.0,35.0,-5.4174049703,18.2888526772
89.0,36.0,-5.5612402991,18.1899973945
89.0,37.0,-5.7033284585,18.0886468953
89.0,38.0,-5.8436261671,17.9848320521
89.0,39.0,-5.9820906889,17.8785844877
89.0,40.0,-6.1186798461,17.7699365662
89.0,41.0,-6.2533520325,17.6589213828
89.0,42.0,-6.3860662255,17.5455727538
89.0,43.0,-6.5167819992,17.4299252064
89.0,44.0,-6.6454595362,17.3120139678
89.0,45.0,-6.7720596402,17.191874955
89.0,46.0,-6.8965437475,17.0695447635
89.0,47.0,-7.018873939,16.9450606562
89.0,48.0,-7.1390129518,16.8184605522
89.0,49.0,-7.2569241904,16.6897830152
89.0,50.0,-7.3725717378,16.5590672415
89.0,51.0,-7.4859203668,16.4263530485
89.0,52.0,-7.5969355502,16.2916808621
89.0,53.0,-7.7055834717,16.1550917049
89.0,54.0,-7.8118310361,16.0166271831
89.0,55.0,-7.9156458793,15.8763294745
89.0,56.0,-8.0169963785,15.7342413151
89.0,57.0,-8.1158516612,15.5904059863
89.0,58.0,-8.2121816151,15.4448673018
89.0,59.0,-8.3059568972,15.2976695939
89.0,60.0,-8.3971489426,15.1488577007
89.0,61.0,-8.4857299734,14.9984769516
89.0,62.0,-8.571673007,14.8465731541
89.0,63.0,-8.6549518642,14.6931925795
89.0,64.0,-8.7355411775,14.538381949
89.0,65.0,-8.8134163986,14.3821884195
89.0,66.0,-8.888553806,14.224659569
89.0,67.0,-8.960930512,14.0658433824
89.0,68.0,-9.0305244701,13.9057882365
89.0,69.0,-9.0973144813,13.7445428858
89.0,70.0,-9.1612802006,13.5821564471
89.0,71.0,-9.2224021435,13.4186783849
89.0,72.0,-9.2806616916,13.2541584962
89.0,73.0,-9.3360410986,13.0886468953
89.0,74.0,-9.3885234952,12.9221939988
89.0,75.0,-9.438092895,12.7548505098
89.0,76.0,-9.4847341985,12.5866674026
89.0,77.0,-9.5284331984,12.4176959076
89.0,78.0,-9.5691765835,12.247987495
89.0,79.0,-9.6069519429,12.0775938598
89.0,80.0,-9.6417477701,11.9065669054
89.0,81.0,-9.6735534657,11.7349587283
89.0,82.0,-9.7023593416,11.562821602
89.0,83.0,-9.728156623,11.3902079612
89.0,84.0,-9.750937452,11.2171703857
89.0,85.0,-9.7706948893,11.0437615843
89.0,86.0,-9.7874229165,10.8700343791
89.0,87.0,-9.8011164382,10.696041689
89.0,88.0,-9.8117712831,10.521836514
89.0,89.0,-9.8193842058,10.3474719186
89.0,90.0,-9.8239528872,10.173001016
89.0,91.0,-9.8254759356,9.9984769516
89.0,92.0,-9.8239528872,9.8239528872
89.0,93.0,-9.8193842058,9.6494819846
89.0,94.0,-9.8117712831,9.4751173892
89.0,95.0,-9.8011164382,9.3009122142
89.0,96.0,-9.7874229165,9.1269195241
89.0,97.0,-9.7706948893,8.9531923189
89.0,98.0,-9.750937452,8.7797835175
89.0,99.0,-9.728156623,8.606745942
89.0,100.0,-9.7023593416,8.4341323012
89.0,101.0,-9.6735534657,8.2619951749
89.0,102.0,-9.6417477701,8.0903869978
89.0,103.0,-9.6069519429,7.9193600434
89.0,104.0,-9.5691765835,7.7489664082
89.0,105.0,-9.5284331984,7.5792579956
89.0,106.0,-9.4847341985,7.4102865006
89.0,107.0,-9.438092895,7.2421033934
89.0,108.0,-9.3885234952,7.0747599044
89.0,109.0,-9.3360410986,6.9083070079
89.0,110.0,-9.2806616916,6.742795407
89.0,111.0,-9.2224021435,6.5782755183
89.0,112.0,-9.1612802006,6.4147974561
89.0,113.0,-9.0973144813,6.2524110174
89.0,114.0,-9.0305244701,6.0911656667
89.0,115.0,-8.960930512,5.9311105208
89.0,116.0,-8.888553806,5.7722943342
89.0,117.0,-8.8134163986,5.6147654837
89.0,118.0,-8.7355411775,5.4585719542
89.0,119.0,-8.6549518642,5.3037613237
89.0,120.0,-8.571673007,5.1503807491
90.0,-120.0,8.6602540378,5.0
90.0,-119.0,8.7461970714,5.1519037975
90.0,-118.0,8.8294759286,5.3052843721
90.0,-117.0,8.9100652419,5.4600950026
90.0,-116.0,8.987940463,5.6162885321
90.0,-115.0,9.0630778704,5.7738173826
90.0,-114.0,9.1354545764,5.9326335692
90.0,-113.0,9.2050485345,6.0926887151
90.0,-112.0,9.2718385457,6.2539340658
90.0,-111.0,9.335804265,6.4163205045
90.0,-110.0,9.3969262079,6.5797985667
90.0,-109.0,9.455185756,6.7443184554
90.0,-108.0,9.510565163,6.9098300563
90.0,-107.0,9.5630475596,7.0762829528
90.0,-106.0,9.6126169594,7.2436264418
90.0,-105.0,9.6592582629,7.411809549
90.0,-104.0,9.7029572628,7.580781044
90.0,-103.0,9.7437006479,7.7504894566
90.0,-102.0,9.7814760073,7.9208830918
90.0,-101.0,9.8162718345,8.0919100462
90.0,-100.0,9.8480775301,8.2635182233
90.0,-99.0,9.876883406,8.4356553496
90.0,-98.0,9.9026806874,8.6082689904
90.0,-97.0,9.9254615164,8.7813065659
90.0,-96.0,9.9452189537,8.9547153673
90.0,-95.0,9.9619469809,9.1284425725
90.0,-94.0,9.9756405026,9.3024352626
90.0,-93.0,9.9862953475,9.4766404376
90.0,-92.0,9.9939082702,9.651005033
90.0,-91.0,9.9984769516,9.8254759356
90.0,-90.0,10.0,10.0
90.0,-89.0,9.9984769516,10.1745240644
90.0,-88.0,9.9939082702,10.348994967
90.0,-87.0,9.9862953475,10.5233595624
90.0,-86.0,9.9756405026,10.6975647374
90.0,-85.0,9.9619469809,10.8715574275
90.0,-84.0,9.9452189537,11.0452846327
90.0,-83.0,9.9254615164,11.2186934341
90.0,-82.0,9.9026806874,11.3917310096
90.0,-81.0,9.876883406,11.5643446504
90.0,-80.0,9.8480775301,11.7364817767
90.0,-79.0,9.8162718345,11.9080899538
90.0,-78.0,9.7814760073,12.0791169082
90.0,-77.0,9.7437006479,12.2495105434
90.0,-76.0,9.7029572628,12.419218956
90.0,-75.0,9.6592582629,12.588190451
90.0,-74.0,9.6126169594,12.7563735582
90.0,-73.0,9.5630475596,12.9237170472
90.0,-72.0,9.510565163,13.0901699437
90.0,-71.0,9.455185756,13.2556815446
90.0,-70.0,9.3969262079,13.4202014333
90.0,-69.0,9.335804265,13.5836794955
90.0,-68.0,9.2718385457,13.7460659342
90.0,-67.0,9.2050485345,13.9073112849
90.0,-66.0,9.1354545764,14.0673664308
90.0,-65.0,9.0630778704,14.2261826174
90.0,-64.0,8.987940463,14.3837114679
90.0,-63.0,8.9100652419,14.5399049974
90.0,-62.0,8.8294759286,14.6947156279
90.0,-61.0,8.7461970714,14.8480962025
90.0,-60.0,8.6602540378,15.0
90.0,-59.0,8.571673007,15.1503807491
90.0,-58.0,8.4804809616,15.2991926423
90.0,-57.0,8.3867056795,15.4463903502
90.0,-56.0,8.2903757256,15.5919290347
90.0,-55.0,8.1915204429,15.7357643635
90.0,-54.0,8.0901699437,15.8778525229
90.0,-53.0,7.9863551005,16.0181502315
90.0,-52.0,7.8801075361,16.1566147533
90.0,-51.0,7.7714596146,16.2932039105
90.0,-50.0,7.6604444312,16.4278760969
90.0,-49.0,7.5470958022,16.5605902899
90.0,-48.0,7.4314482548,16.6913060636
90.0,-47.0,7.3135370162,16.8199836006
90.0,-46.0,7.1933980034,16.9465837046
90.0,-45.0,7.0710678119,17.0710678119
90.0,-44.0,6.9465837046,17.1933980034
90.0,-43.0,6.8199836006,17.3135370162
90.0,-42.0,6.6913060636,17.4314482548
90.0,-41.0,6.5605902899,17.5470958022
90.0,-40.0,6.4278760969,17.6604444312
90.0,-39.0,6.2932039105,17.7714596146
90.0,-38.0,6.1566147533,17.8801075361
90.0,-37.0,6.0181502315,17.9863551005
90.0,-36.0,5.8778525229,18.0901699437
90.0,-35.0,5.7357643635,18.1915204429
90.0,-34.0,5.5919290347,18.2903757256
90.0,-33.0,5.4463903502,18.3867056795
90.0,-32.0,5.2991926423,18.4804809616
90.0,-31.0,5.1503807491,18.571673007
90.0,-30.0,5.0,18.6602540378
90.0,-29.0,4.8480962025,18.7461970714
90.0,-28.0,4.6947156279,18.8294759286
90.0,-27.0,4.5399049974,18.9100652419
90.0,-26.0,4.3837114679,18.987940463
90.0,-25.0,4.2261826174,19.0630778704
90.0,-24.0,4.0673664308,19.1354545764
90.0,-23.0,3.9073112849,19.2050485345
90.0,-22.0,3.7460659342,19.2718385457
90.0,-21.0,3.5836794955,19.335804265
90.0,-20.0,3.4202014333,19.3969262079
90.0,-19.0,3.2556815446,19.455185756
90.0,-18.0,3.0901699437,19.510565163
90.0,-17.0,2.9237170472,19.5630475596
90.0,-16.0,2.7563735582,19.6126169594
90.0,-15.0,2.588190451,19.6592582629
90.0,-14.0,2.419218956,19.7029572628
90.0,-13.0,2.2495105434,19.7437006479
90.0,-12.0,2.0791169082,19.7814760073
90.0,-11.0,1.9080899538,19.8162718345
90.0,-10.0,1.7364817767,19.8480775301
90.0,-9.0,1.5643446504,19.876883406
90.0,-8.0,1.3917310096,19.9026806874
90.0,-7.0,1.2186934341,19.9254615164
90.0,-6.0,1.0452846327,19.9452189537
90.0,-5.0,0.8715574275,19.9619469809
90.0,-4.0,0.6975647374,19.9756405026
90.0,-3.0,0.5233595624,19.9862953475
90.0,-2.0,0.348994967,19.9939082702
90.0,-1.0,0.1745240644,19.9984769516
90.0,0.0,0.0,20.0
90.0,1.0,-0.1745240644,19.9984769516
90.0,2.0,-0.348994967,19.9939082702
90.0,3.0,-0.5233595624,19.9862953475
90.0,4.0,-0.6975647374,19.9756405026
90.0,5.0,-0.8715574275,19.9619469809
90.0,6.0,-1.0452846327,19.9452189537
90.0,7.0,-1.2186934341,19.9254615164
90.0,8.0,-1.3917310096,19.9026806874
90.0,9.0,-1.5643446504,19.876883406
90.0,10.0,-1.7364817767,19.8480775301
90.0,11.0,-1.9080899538,19.8162718345
90.0,12.0,-2.0791169082,19.7814760073
90.0,13.0,-2.2495105434,19.7437006479
90.0,14.0,-2.419218956,19.7029572628
90.0,15.0,-2.588190451,19.6592582629
90.0,16.0,-2.7563735582,19.6126169594
90.0,17.0,-2.9237170472,19.5630475596
90.0,18.0,-3.0901699437,19.510565163
90.0,19.0,-3.2556815446,19.455185756
90.0,20.0,-3.4202014333,19.3969262079
90.0,21.0,-3.5836794955,19.335804265
90.0,22.0,-3.7460659342,19.2718385457
90.0,23.0,-3.9073112849,19.2050485345
90.0,24.0,-4.0673664308,19.1354545764
90.0,25.0,-4.2261826174,19.0630778704
90.0,26.0,-4.3837114679,18.987940463
90.0,27.0,-4.5399049974,18.9100652419
90.0,28.0,-4.6947156279,18.8294759286
90.0,29.0,-4.8480962025,18.7461970714
90.0,30.0,-5.0,18.6602540378
90.0,31.0,-5.1503807491,18.571673007
90.0,32.0,-5.2991926423,18.4804809616
90.0,33.0,-5.4463903502,18.3867056795
90.0,34.0,-5.5919290347,18.2903757256
90.0,35.0,-5.7357643635,18.1915204429
90.0,36.0,-5.8778525229,18.0901699437
90.0,37.0,-6.0181502315,17.9863551005
90.0,38.0,-6.1566147533,17.8801075361
90.0,39.0,-6.2932039105,17.7714596146
90.0,40.0,-6.4278760969,17.6604444312
90.0,41.0,-6.5605902899,17.5470958022
90.0,42.0,-6.6913060636,17.4314482548
90.0,43.0,-6.8199836006,17.3135370162
90.0,44.0,-6.9465837046,17.1933980034
90.0,45.0,-7.0710678119,17.0710678119
90.0,46.0,-7.1933980034,16.9465837046
90.0,47.0,-7.3135370162,16.8199836006
90.0,48.0,-7.4314482548,16.6913060636
90.0,49.0,-7.5470958022,16.5605902899
90.0,50.0,-7.6604444312,16.4278760969
90.0,51.0,-7.7714596146,16.2932039105
90.0,52.0,-7.8801075361,16.1566147533
90.0,53.0,-7.9863551005,16.0181502315
90.0,54.0,-8.0901699437,15.8778525229
90.0,55.0,-8.1915204429,15.7357643635
90.0,56.0,-8.2903757256,15.5919290347
90.0,57.0,-8.3867056795,15.4463903502
90.0,58.0,-8.4804809616,15.2991926423
90.0,59.0,-8.571673007,15.1503807491
90.0,60.0,-8.6602540378,15.0
90.0,61.0,-8.7461970714,14.8480962025
90.0,62.0,-8.8294759286,14.6947156279
90.0,63.0,-8.9100652419,14.5399049974
90.0,64.0,-8.987940463,14.3837114679
90.0,65.0,-9.0630778704,14.2261826174
90.0,66.0,-9.1354545764,14.0673664308
90.0,67.0,-9.2050485345,13.9073112849
90.0,68.0,-9.2718385457,13.7460659342
90.0,69.0,-9.335804265,13.5836794955
90.0,70.0,-9.3969262079,13.4202014333
90.0,71.0,-9.455185756,13.2556815446
90.0,72.0,-9.510565163,13.0901699437
90.0,73.0,-9.5630475596,12.9237170472
90.0,74.0,-9.6126169594,12.7563735582
90.0,75.0,-9.6592582629,12.588190451
90.0,76.0,-9.7029572628,12.419218956
90.0,77.0,-9.7437006479,12.2495105434
